iter	Logloss
0	0.6925655323
1	0.6920478109
2	0.6917365626
3	0.6913317302
4	0.6907780459
5	0.6901397359
6	0.6895924935
7	0.6889552014
8	0.6884296053
9	0.687986451
10	0.6876582933
11	0.6871807495
12	0.686892306
13	0.6865083271
14	0.6859278112
15	0.6854186373
16	0.6851313691
17	0.6847249041
18	0.6842649369
19	0.6838306735
20	0.6834111816
21	0.6829818349
22	0.6825976728
23	0.6824188742
24	0.6822852952
25	0.6820470753
26	0.6817396903
27	0.6814740612
28	0.6813119022
29	0.6809806144
30	0.6808633494
31	0.6805872287
32	0.6803703419
33	0.6802795824
34	0.6800647375
35	0.6798128041
36	0.6796619633
37	0.6794521486
38	0.6792300003
39	0.6791211934
40	0.6786773318
41	0.6783997059
42	0.6782500133
43	0.6780700829
44	0.6778746972
45	0.6776420086
46	0.6775643702
47	0.6773441559
48	0.6772191157
49	0.6770926707
50	0.6768796925
51	0.6764783209
52	0.6762789528
53	0.6762096111
54	0.6759807764
55	0.6758407499
56	0.6756115123
57	0.6753459995
58	0.6750819637
59	0.6748815996
60	0.6746922835
61	0.6746138008
62	0.6745492459
63	0.6743994113
64	0.6742407259
65	0.6740689095
66	0.6738968717
67	0.673615188
68	0.6734618893
69	0.6732895063
70	0.6728700581
71	0.6726805027
72	0.6724778629
73	0.6723757384
74	0.6722904565
75	0.6721862449
76	0.672046658
77	0.6718910855
78	0.6716344547
79	0.6715090885
80	0.6713788592
81	0.6712551731
82	0.6711406152
83	0.6709322598
84	0.6707078741
85	0.6704989818
86	0.6702044538
87	0.6700833719
88	0.6699775593
89	0.6698279252
90	0.6694831571
91	0.669411254
92	0.6690719169
93	0.6690244559
94	0.6689166468
95	0.6687933332
96	0.6687368482
97	0.668528366
98	0.668449067
99	0.6682937559
100	0.6681933985
101	0.6681056983
102	0.6681056928
103	0.6678521388
104	0.6676764118
105	0.667564848
106	0.6673646947
107	0.667198313
108	0.667075729
109	0.6669389768
110	0.6667348517
111	0.6666005451
112	0.6664993526
113	0.6664527794
114	0.6663820481
115	0.6662130983
116	0.6659865916
117	0.6658878249
118	0.6656380818
119	0.665389052
120	0.665201507
121	0.665031682
122	0.6649158057
123	0.664787731
124	0.6647242118
125	0.6645390261
126	0.6644880942
127	0.6644505468
128	0.6643900189
129	0.6641477661
130	0.6640233081
131	0.663845108
132	0.6636778426
133	0.6635868944
134	0.6634871336
135	0.6633021823
136	0.663275499
137	0.6631696599
138	0.6630742289
139	0.662830982
140	0.6625753568
141	0.662427136
142	0.662179853
143	0.6621448971
