iter	Passed	Remaining
0	130	64916
1	202	50451
2	271	45025
3	356	44248
4	465	46132
5	543	44783
6	647	45625
7	733	45110
8	913	49819
9	1123	55057
10	1379	61323
11	1607	65378
12	1803	67567
13	2046	71044
14	2135	69040
15	2214	66997
16	2290	65067
17	2433	65175
18	2593	65660
19	2672	64128
20	2735	62389
21	2799	60815
22	2859	59293
23	2926	58034
24	2985	56726
25	3049	55599
26	3106	54416
27	3171	53457
28	3235	52544
29	3289	51540
30	3355	50766
31	3421	50045
32	3488	49362
33	3543	48566
34	3611	47975
35	3665	47239
36	3730	46684
37	3794	46135
38	3859	45616
39	3926	45151
40	3993	44705
41	4054	44214
42	4120	43787
43	4191	43439
44	4251	42982
45	4320	42644
46	4382	42236
47	4460	42007
48	4540	41787
49	4600	41406
50	4654	40977
51	4719	40660
52	4780	40319
53	4846	40028
54	4913	39756
55	4975	39446
56	5035	39132
57	5093	38813
58	5162	38589
59	5224	38312
60	5293	38094
61	5361	37877
62	5428	37655
63	5490	37403
64	5553	37164
65	5614	36921
66	5676	36683
67	5740	36471
68	5805	36265
69	5864	36026
70	5932	35843
71	5993	35628
72	6058	35435
73	6126	35266
74	6186	35056
75	6245	34845
76	6313	34682
77	6372	34478
78	6431	34274
79	6488	34067
80	6556	33913
81	6610	33695
82	6673	33528
83	6733	33346
84	6797	33189
85	6856	33008
86	6919	32848
87	6978	32669
88	7036	32494
89	7100	32348
90	7166	32207
91	7226	32046
92	7286	31887
93	7345	31724
94	7398	31540
95	7456	31380
96	7517	31230
97	7575	31076
98	7638	30941
99	7696	30787
100	7765	30677
101	7827	30544
102	7855	30277
103	7918	30151
104	7977	30009
105	8030	29848
106	8098	29743
107	8155	29599
108	8213	29461
109	8277	29348
110	8345	29246
111	8406	29122
112	8466	28996
113	8526	28872
114	8591	28761
115	8655	28653
116	8713	28522
117	8782	28429
118	8838	28299
119	8901	28186
120	8957	28057
121	9021	27951
122	9094	27876
123	9163	27785
124	9233	27699
125	9295	27591
126	9350	27463
127	9413	27357
128	9474	27249
129	9539	27151
130	9604	27052
131	9661	26936
132	9721	26825
133	9780	26713
134	9836	26595
135	9898	26492
136	9953	26372
137	10014	26270
138	10075	26166
139	10135	26061
140	10195	25958
141	10260	25867
142	10318	25760
143	10370	25639
144	10433	25543
145	10495	25448
146	10562	25363
147	10625	25271
148	10680	25160
149	10742	25066
150	10801	24965
151	10868	24883
152	10922	24772
153	10987	24687
154	11054	24606
155	11119	24519
156	11178	24421
157	11243	24336
158	11307	24250
159	11365	24151
160	11427	24062
161	11493	23981
162	11543	23866
163	11606	23778
164	11668	23691
165	11733	23608
166	11795	23519
167	11859	23436
168	11927	23360
169	11982	23259
170	12042	23169
171	12102	23078
172	12158	22981
173	12216	22888
174	12281	22809
175	12348	22732
176	12412	22650
177	12458	22537
178	12517	22447
179	12585	22374
180	12646	22288
181	12704	22198
182	12763	22109
183	12823	22023
184	12887	21943
185	12946	21856
186	13010	21776
187	13071	21693
188	13134	21612
189	13195	21529
190	13263	21457
191	13322	21370
192	13388	21296
193	13447	21210
194	13509	21129
195	13576	21057
196	13632	20967
197	13689	20880
198	13755	20806
199	13823	20735
200	13877	20644
201	13943	20569
202	14010	20497
203	14068	20412
204	14130	20333
205	14186	20247
206	14249	20169
207	14312	20092
208	14370	20009
209	14430	19927
210	14478	19830
211	14539	19751
212	14600	19672
213	14669	19604
214	14734	19531
215	14795	19453
216	14857	19376
217	14918	19298
218	14983	19224
219	15046	19150
220	15109	19074
221	15165	18991
222	15227	18914
223	15292	18842
224	15351	18762
225	15411	18684
226	15462	18595
227	15527	18523
228	15587	18446
229	15647	18368
230	15708	18292
231	15779	18228
232	15837	18148
233	15905	18080
234	15959	17996
235	16024	17925
236	16090	17855
237	16149	17778
238	16212	17705
239	16268	17623
240	16327	17547
241	16392	17475
242	16453	17401
243	16515	17327
244	16549	17224
245	16606	17146
246	16668	17073
247	16730	17000
248	16785	16920
249	16845	16845
250	16905	16771
251	16971	16702
252	17036	16632
253	17091	16553
254	17150	16478
255	17212	16405
256	17275	16334
257	17333	16258
258	17392	16183
259	17450	16108
260	17512	16036
261	17570	15960
262	17634	15890
263	17698	15821
264	17760	15749
265	17826	15682
266	17892	15613
267	17951	15540
268	18019	15473
269	18087	15407
270	18153	15339
271	18218	15271
272	18277	15198
273	18337	15125
274	18398	15053
275	18462	14984
276	18515	14906
277	18577	14835
278	18637	14763
279	18704	14696
280	18774	14632
281	18843	14567
282	18912	14501
283	18978	14434
284	19041	14364
285	19100	14291
286	19167	14225
287	19228	14153
288	19288	14082
289	19344	14008
290	19413	13943
291	19483	13878
292	19549	13811
293	19611	13741
294	19671	13670
295	19738	13603
296	19802	13535
297	19870	13469
298	19936	13402
299	19996	13331
300	20052	13257
301	20121	13192
302	20181	13121
303	20247	13054
304	20310	12985
305	20367	12912
306	20420	12837
307	20485	12770
308	20546	12700
309	20609	12631
310	20677	12565
311	20721	12486
312	20778	12413
313	20843	12346
314	20903	12276
315	20968	12209
316	21032	12141
317	21095	12073
318	21162	12007
319	21224	11938
320	21283	11868
321	21338	11795
322	21394	11723
323	21461	11658
324	21528	11592
325	21586	11521
326	21655	11457
327	21698	11378
328	21762	11311
329	21824	11242
330	21882	11172
331	21949	11107
332	22016	11041
333	22074	10970
334	22133	10901
335	22201	10836
336	22259	10766
337	22324	10700
338	22388	10633
339	22456	10567
340	22516	10498
341	22582	10432
342	22650	10367
343	22717	10302
344	22781	10235
345	22839	10165
346	22902	10098
347	22960	10028
348	23016	9958
349	23084	9893
350	23151	9828
351	23213	9760
352	23268	9689
353	23335	9624
354	23402	9558
355	23466	9492
356	23521	9421
357	23588	9356
358	23648	9287
359	23702	9217
360	23768	9151
361	23835	9086
362	23900	9020
363	23963	8953
364	24014	8882
365	24075	8814
366	24140	8748
367	24204	8681
368	24270	8616
369	24338	8551
370	24405	8485
371	24468	8419
372	24510	8345
373	24572	8278
374	24634	8211
375	24698	8145
376	24765	8080
377	24827	8013
378	24894	7947
379	24956	7880
380	25020	7814
381	25078	7746
382	25136	7678
383	25202	7613
384	25261	7545
385	25302	7472
386	25363	7405
387	25426	7339
388	25488	7273
389	25549	7206
390	25622	7142
391	25691	7078
392	25758	7013
393	25818	6946
394	25878	6879
395	25933	6810
396	25999	6745
397	26065	6680
398	26132	6615
399	26193	6548
400	26257	6482
401	26323	6417
402	26381	6349
403	26448	6284
404	26494	6214
405	26551	6147
406	26610	6080
407	26675	6015
408	26742	5950
409	26811	5885
410	26875	5819
411	26943	5754
412	26996	5686
413	27056	5620
414	27115	5553
415	27177	5487
416	27242	5422
417	27283	5352
418	27349	5287
419	27411	5221
420	27478	5156
421	27542	5090
422	27601	5024
423	27669	4959
424	27734	4894
425	27799	4828
426	27860	4762
427	27927	4698
428	27994	4633
429	28058	4567
430	28119	4501
431	28187	4436
432	28252	4371
433	28312	4305
434	28377	4240
435	28445	4175
436	28498	4108
437	28565	4043
438	28631	3978
439	28697	3913
440	28759	3847
441	28827	3782
442	28889	3717
443	28953	3651
444	29016	3586
445	29076	3520
446	29132	3454
447	29194	3388
448	29260	3323
449	29320	3257
450	29386	3192
451	29454	3127
452	29514	3062
453	29575	2996
454	29643	2931
455	29707	2866
456	29763	2800
457	29828	2735
458	29888	2669
459	29955	2604
460	30023	2539
461	30094	2475
462	30134	2408
463	30209	2343
464	30274	2278
465	30338	2213
466	30407	2148
467	30490	2084
468	30573	2020
469	30634	1955
